"id","nome","comune_appartenenza","comuneId","vendita_minima(€/m²)","vendita_media(€/m²)","vendita_massima(€/m²)","affitto_minimo(€/mese)","affitto_medio(€/mese)","affitto_massimo(€/mese)","popolazione","densita_popolazione(ab./km²)","superficie(km²)","famiglie","maschi(%)","femmine(%)","stranieri(%)","eta_media(anni)"
1,Milano,Milano,1,2694,5271,10058,16.56,22.02,30.16,1349930,7430.4,181.68,720361,48.3,51.7,18.8,45.3
2,Centro,Milano,1,5425,10058,10367,18.75,30.16,33.84,0,0,0,0,0,0,0,0
3,"Arco della Pace, Arena, Pagano",Milano,1,3638,9130,8250,10,26.28,24.5,0,0,0,0,0,0,0,0
4,"Genova, Ticinese",Milano,1,4650,7720,8250,14.75,23.56,24.5,0,0,0,0,0,0,0,0
5,"Quadronno, Palestro, Guastalla",Milano,1,5425,8536,7183,18.67,25.57,21.34,0,0,0,0,0,0,0,0
6,"Garibaldi, Moscova, Porta Nuova",Milano,1,4406,9986,11125,13.25,29.04,39.5,0,0,0,0,0,0,0,0
7,"Fiera, Sempione, City Life, Portello",Milano,1,2463,6690,9475,8.25,22.5,30.75,0,0,0,0,0,0,0,0
8,Navigli,Milano,1,3125,6274,5425,9.75,23.01,18.75,0,0,0,0,0,0,0,0
9,"Porta Romana, Cadore, Montenero",Milano,1,2975,6696,7167,7.75,22.07,21.34,0,0,0,0,0,0,0,0
10,"Porta Venezia, Indipendenza",Milano,1,3100,7463,7167,9.42,23.72,21.34,0,0,0,0,0,0,0,0
11,"Centrale, Repubblica",Milano,1,2879,6458,11125,8.54,23.88,39.5,0,0,0,0,0,0,0,0
12,"Cenisio, Sarpi, Isola",Milano,1,2984,6182,11125,8.5,23.25,39.5,0,0,0,0,0,0,0,0
13,"Viale Certosa, Cascina Merlata",Milano,1,2344,3846,5388,7.75,19.08,17,0,0,0,0,0,0,0,0
14,"Bande Nere, Inganni",Milano,1,2300,4467,4492,8.25,18.11,14.5,0,0,0,0,0,0,0,0
15,"Famagosta, Barona",Milano,1,1943,4067,3504,6.55,19.1,10.58,0,0,0,0,0,0,0,0
16,"Abbiategrasso, Chiesa Rossa",Milano,1,2188,4087,3313,6.5,19.56,10,0,0,0,0,0,0,0,0
17,"Porta Vittoria, Lodi",Milano,1,2438,4837,3531,7,19.98,10.25,0,0,0,0,0,0,0,0
18,"Cimiano, Crescenzago, Adriano",Milano,1,2194,3564,2675,7.08,19.2,8.25,0,0,0,0,0,0,0,0
19,"Bicocca, Niguarda",Milano,1,2340,3556,2700,7.17,17.55,8.25,0,0,0,0,0,0,0,0
20,"Solari, Washington",Milano,1,3125,6821,5388,9.92,23.53,17,0,0,0,0,0,0,0,0
21,"Affori, Bovisa",Milano,1,2063,3495,3638,6.5,19.27,10,0,0,0,0,0,0,0,0
22,"San Siro, Trenno",Milano,1,1704,3753,5388,4.88,18.09,17,0,0,0,0,0,0,0,0
23,"Bisceglie, Baggio, Olmi",Milano,1,1947,2694,2500,5.88,16.57,8.88,0,0,0,0,0,0,0,0
24,"Ripamonti, Vigentino",Milano,1,1935,4213,3313,5.88,19.62,10,0,0,0,0,0,0,0,0
25,Forlanini,Milano,1,2438,3224,2800,7.5,16.56,8.88,0,0,0,0,0,0,0,0
26,"Città Studi, Susa",Milano,1,2625,5421,5175,8.25,19.95,16.5,0,0,0,0,0,0,0,0
27,"Maggiolina, Istria",Milano,1,2625,4965,3388,8.25,19.85,9.13,0,0,0,0,0,0,0,0
28,"Precotto, Turro",Milano,1,2446,3982,2508,7.75,18.88,7.92,0,0,0,0,0,0,0,0
29,"Udine, Lambrate",Milano,1,2375,4141,2675,6.5,18.01,8.25,0,0,0,0,0,0,0,0
30,"Pasteur, Rovereto",Milano,1,2625,4527,3692,8.25,20.68,11.48,0,0,0,0,0,0,0,0
31,"Ponte Lambro, Santa Giulia",Milano,1,2438,3019,2513,7.25,16.85,7.5,0,0,0,0,0,0,0,0
