"id","nome","areaSTIBM","latitudine","longitudine","tipo_mezzo"
1,Milano Cadorna,Mi1,"9.175523","45.4684048",treno
2,Milano Porta Garibaldi (superficie),Mi1,"9.187309","45.48453",treno
3,Milano San Cristoforo,"","9.130128","45.4423024",treno
4,Milano Greco Pirelli,Mi1,"9.2141883","45.5128894",treno
5,Rho,Mi4,"9.0435651","45.5241021",treno
6,Milano Lambrate,Mi1,"9.2376864","45.4854753",treno
7,Abbiategrasso,"","8.9205948","45.3975857",treno
8,Legnano,Mi7,"8.9108573","45.5936932",treno
9,Sesto San Giovanni,Mi3,"9.2389741","45.5412987",treno
10,Milano Repubblica,Mi1,"9.1988454","45.4803739",treno
11,Cassano d Adda,Mi7,"9.512329","45.5146387",treno
12,Trecella,Mi6,"9.4806915","45.5128645",treno
13,Pioltello-Limito,Mi4,"9.3282178","45.4858769",treno
14,Milano Dateo,Mi1,"9.2173702","45.4672656",treno
15,Vittuone-Arluno,Mi5,"8.9472481","45.4909119",treno
16,Milano Villapizzone,Mi1,"9.1507399","45.5021322",treno
17,Corbetta-Santo Stefano Ticino,Mi6,"8.918125","45.4812181",treno
18,Albairate-Vermezzo,"","8.9581692","45.4044475",treno
19,Novate Milanese,Mi3,"9.1324515","45.5329489",treno
20,Bollate Centro,Mi3,"9.1230836","45.5427361",treno
21,Milano Certosa,Mi1,"9.136257","45.5067834",treno
22,Milano Quarto Oggiaro,Mi1,"9.1456385","45.5191956",treno
23,Bollate Nord,Mi3,"9.1120724","45.5526203",treno
24,Rho Fiera,Mi3,"9.0884719","45.5211715",treno
25,Vanzago-Pogliano,Mi5,"8.995722","45.5253703",treno
26,San Giuliano Milanese,Mi4,"9.2865445","45.3913126",treno
27,Canegrate,Mi7,"8.9267176","45.5693375",treno
28,Parabiago,Mi6,"8.94649","45.5526039",treno
29,Melegnano,Mi5,"9.3193708","45.3565162",treno
30,Milano Porta Romana,"","9.2141267","45.4459202",treno
31,Vanzaghello-Magnago,"","8.7876859","45.5777373",treno
32,Pregnana Milanese,Mi5,"9.0027724","45.5101412",treno
33,Turbigo,"","8.7389171","45.5281001",treno
34,Magenta,Mi7,"8.8807055","45.4680853",treno
35,Milano Porta Garibaldi (passante),Mi1,"9.1866425","45.4840444",treno
36,Milano Porta Venezia,Mi1,"9.2087419","45.4757916",treno
37,Melzo,Mi5,"9.4190908","45.5021136",treno
38,Villamaggiore,Mi5,"9.190542","45.3204792",treno
39,Locate Triulzi,Mi4,"9.2214959","45.3596816",treno
40,Vignate,Mi5,"9.3753293","45.4941764",treno
41,Palazzolo Milanese,Mi4,"9.1566795","45.5810644",treno
